Numero billet;Commande;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Date acces;Heure acces;Tarif;Type de client;Type de produit;Serie;Etage;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1400222;;843989;0004-06-15;;476;FEMME NON-REEDUCABLE;3191;FEMME NON-REEDUCABLE;0010-10-14;2000-01-01 20:00:00 UTC;0010-10-14;2000-01-01 22:00:00 UTC;27.0;0010-10-14;2000-01-01 19:49:11 UTC;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400223;;843990;0004-06-15;;477;G??n??rale Publique Fever;3204;G??n??rale Publique Fever;0005-11-14;2000-01-01 20:00:00 UTC;0005-11-14;2000-01-01 21:30:00 UTC;27.0;0005-11-14;2000-01-01 19:52:17 UTC;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400225;;843991;0004-06-15;;479;L&#39;HISTOIRE TERRIBLE... 2e EPOQUE;3218;L&#39;HISTOIRE TERRIBLE... 2e EPOQUE;0028-11-14;2000-01-01 20:00:00 UTC;0028-11-14;2000-01-01 23:30:00 UTC;27.0;0028-11-14;2000-01-01 19:52:07 UTC;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400228;;843992;0004-06-15;;482;LE ROI LEAR;3257;LE ROI LEAR;0014-01-15;2000-01-01 20:00:00 UTC;0014-01-15;2000-01-01 21:40:00 UTC;27.0;0014-01-15;2000-01-01 19:57:08 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400229;;843986;0004-06-15;;483;JE SUIS;3268;JE SUIS;0016-01-15;2000-01-01 20:00:00 UTC;0016-01-15;2000-01-01 21:30:00 UTC;15.0;;;Abonnement mouettes;0;Abonnement;Serie unique;;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400231;;843994;0004-06-15;;499;HATE RADIO;3393;HATE RADIO;0023-01-15;2000-01-01 20:30:00 UTC;0023-01-15;2000-01-01 22:00:00 UTC;31.0;;;Abonnement mouettes;0;Abonnement;Serie unique;PARTERRE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400233;;843993;0004-06-15;;485;CEUX QUE J&#39;AI RENCONTRE...;3299;CEUX QUE J&#39;AI RENCONTRE...;0006-02-15;2000-01-01 20:00:00 UTC;0006-02-15;2000-01-01 23:30:00 UTC;27.0;0006-02-15;2000-01-01 19:58:19 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1400235;;843987;0004-06-15;;490;LEBEN DES GALILEI;3329;LEBEN DES GALILEI;0020-03-15;2000-01-01 20:00:00 UTC;0020-03-15;2000-01-01 22:00:00 UTC;27.0;0020-03-15;2000-01-01 19:54:27 UTC;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran?_ois-Jean;Fran?_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;
1491869;346789;838354;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;BOUREFIS LHOSTE;MARIKA;MARIKA.BOUREFIS LHOSTE@mail.fr;52 rue Babyrousa babyrusa;69004;France;;
1491870;346789;838354;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;BOUREFIS LHOSTE;MARIKA;MARIKA.BOUREFIS LHOSTE@mail.fr;52 rue Babyrousa babyrusa;69004;France;;
